"Delivery Date","Datum levering"
"Carrier","Levering door"
"Save Delivery","Bewaar levering"
"Edit Delivery Item '%s'","Bewerk levering '%s'"
"Edit Delivery Item","Bewerk levering"
"New Delivery Item","Nieuwe levering"
"Shipment item does not exist","Verzending bestaat niet"
"Delivery item Information","Levering Info"
"Levering #","Leverings nr."
"Delivery date","Datum levering"
"Deliveryaddress","Leveringsadres"
"Deliveries","Leveringen"
"Error saving delivery item","Fout bij bewaren levering detail"
"Delivery item was successfully saved.","Leverinfo werd bewaard."
"No data found to save","Niet gevonden om te bewaren"
"Comment","Opmerking"
"Customerinformation","Klant informatie"
"Phone","Telefoon"
"Name","Naam"
"Orderinformation","Order informatie"
"Delivered","Afgeleverd"
"Y","Ja"
"N","Nee"
"Delivery_id","Levering id"
"Telephone","Telefoon"
"Tracking Number","Track nr."
"Custom","Andere"
"Qty","Aantal"
"Zorgpunt delivery note page ","Zorgpunt leveringsnota pagina "


