"Additional Information","Verdere productinformatie"
"Additional Files","Bijlagen"
"Add Tags","Voeg labels toe"
"Add Your Tags:","Voeg jou labels toe:"
"Add to Cart","In winkelmand"
"All","Alles"
"Browse By","Zoek volgens"
"Check items to add to the cart or","Selecteer producten om toe te voegen aan je winkelwagen of"
"Compare Products","Vergelijk producten"
"Category","Categorie"
"Exclusive for farmacie","Te koop bij uw zorgpunt apotheek"
"farmacielink","http://zorgpunt.eu/apotheken/"
"List","Lijst"
"here","hier"
"In stock","Op voorraad"
"Items","Producten"
"Item","Product"
"Item(s)","Product(en)"
"More Views","Meer foto's"
"Name","Naam"
"Related Products","Verbonden producten"
"Recently Viewed Products","Recent bekeken producten"
"Reviews","Beoordelingen"
"Product","Product"
"Product Tags","Product labels"
"Product Additional Files","Bijlagen"
"Position","Plaats"
"Price","Prijs"
"select all","selecteer alles"
"Sort By","Sorteer volgens"
"Show","Toon"
"There are no products matching the selection.","Geen producten gevonden."
"Use spaces to separate tags. Use single quotes (') for phrases.","Gebruik spaties tussen labels, enkele quotes (') voor zinnen."
"You have no items to compare.","U heeft nog geen producten om te vergelijken."
"View","Bekijk"
"View All","Alle"
"View as","Bekijk als"
"View As","Bekijk als"
"View As:","Bekijk als:"
"VIEW AS:","Bekijk als:"
"View More","Meer"
"The minimum quantity allowed for purchase is %s.","Het minimum te bestellen aantal is %s."


